experiencia,tipoDeCultivador,educacionAlRespecto,plantasEnRotacionNro,tipoDeSimulacion,numeroDePlantas,user_id,cultivador_rating,lat,lon,DLITotal,DLIGerminacionClonacion,DLIPlantin,DLIVegetativo,DLIPreFloracion,DLIFloracion,haceGerminacion_True,geneticaPheno_Hybrid,geneticaPheno_Indica,geneticaPheno_Sativa,geneticaPhoto_Auto,geneticaPhoto_Hybrid,geneticaPhoto_Photoperiod,geneticaSlug_amnesia-lemon-haze,geneticaSlug_berry-white,geneticaSlug_blue-gelato,geneticaSlug_buddha-og-kush,geneticaSlug_citrix,geneticaSlug_critical,geneticaSlug_gorilla-blue,geneticaSlug_moby-dick,geneticaSlug_orange-kush,geneticaSlug_punto-rojo-tierra-adentro,geneticaSlug_purple-1,geneticaSlug_quasar,geneticaSlug_super-lemon-haze,geneticaSlug_white-widow,ambienteDeCultivo_Indoor,medioDeCultivo_Hidroponia,medioDeCultivo_LivingSoil,medioDeCultivo_Sustrato,metodoDeCultivo_DWC,"metodoDeCultivo_SOG, GreenHouses","metodoDeCultivo_SOG, SOG",metodoDeCultivo_ScrOG,"metodoDeCultivo_ScrOG, SOG, ToppingAndFimming, ToppingAndFimming","metodoDeCultivo_ScrOG, ScrOG","metodoDeCultivo_SuperCropping, SuperCropping",dias_germinacion_clonacion,dias_plantin,dias_vegetativo,dias_prefloracion,dias_floracion,total_dias_cultivo,target
5,2,1,150,1,200,2,0.8333333333333334,-34.666667,-54.916667,3572.0,120.0,336.0,1780.0,426.0,910.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10.0,21.0,56.0,14.0,25.0,126.0,35
5,2,1,150,1,200,2,0.8333333333333334,-34.666667,-54.916667,2893.0,96.0,272.0,1420.0,377.0,728.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8.0,17.0,42.0,10.0,19.0,96.0,35
6,1,2,6,1,3,3,0.708,-42.7729674,-65.0366104,2035.0,60.0,224.0,995.0,315.0,441.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5.0,14.0,28.0,7.0,11.0,65.0,100
2,1,1,4,1,3,0,0.3386666666666666,-33.67722,-65.4825192,2918.5,60.0,16.0,945.0,187.5,1710.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,1.0,28.0,5.0,45.0,84.0,13
2,1,1,4,1,4,0,0.3386666666666666,-33.6745795,-65.4617562,3652.5,60.0,64.0,985.0,263.5,2280.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,4.0,29.0,7.0,60.0,105.0,13
2,1,1,4,1,3,0,0.3386666666666666,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,1.0,28.0,5.0,45.0,84.0,14
2,1,1,4,1,3,0,0.3386666666666666,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,1.0,28.0,5.0,45.0,84.0,16
2,1,1,4,1,3,0,0.3386666666666666,-33.67722,-65.4825192,3078.0,60.0,16.0,995.0,225.0,1782.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,1.0,28.0,5.0,45.0,84.0,16
2,1,1,4,1,4,0,0.3386666666666666,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,4.0,29.0,7.0,60.0,105.0,24
2,1,1,4,1,4,0,0.3386666666666666,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,4.0,29.0,7.0,60.0,105.0,24
2,1,1,4,1,4,0,0.3386666666666666,-33.6745795,-65.4617562,3455.0,60.0,64.0,935.0,212.0,2184.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5.0,4.0,29.0,7.0,60.0,105.0,24
4,1,2,10,1,3,1,0.5800000000000001,25.9426915,-80.1218486,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,32
4,1,2,10,1,3,1,0.5800000000000001,25.9426915,-80.1218486,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,32
4,1,2,10,1,3,1,0.5800000000000001,25.9426915,-80.1218486,4033.0,96.0,272.0,1420.0,377.0,1868.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8.0,17.0,42.0,10.0,49.0,126.0,32
4,1,2,10,1,4,1,0.5800000000000001,-33.6745795,-65.4617562,3263.0,60.0,224.0,995.0,315.0,1669.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.0,14.0,28.0,7.0,42.0,96.0,54
4,1,2,10,1,4,1,0.5800000000000001,-33.6745795,-65.4617562,3263.0,60.0,224.0,995.0,315.0,1669.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.0,14.0,28.0,7.0,42.0,96.0,54
4,1,2,10,1,4,1,0.5800000000000001,-33.6745795,-65.4617562,3263.0,60.0,224.0,995.0,315.0,1669.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.0,14.0,28.0,7.0,42.0,96.0,54
6,1,2,6,1,3,3,0.708,-42.7729674,-65.0366104,2035.0,60.0,224.0,995.0,315.0,441.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5.0,14.0,28.0,7.0,11.0,65.0,100
6,1,2,6,1,3,3,0.708,-42.7729674,-65.0366104,2035.0,60.0,224.0,995.0,315.0,441.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5.0,14.0,28.0,7.0,11.0,65.0,100
6,1,2,6,1,3,3,0.708,-42.7729674,-65.0366104,2035.0,60.0,224.0,995.0,315.0,441.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5.0,14.0,28.0,7.0,11.0,65.0,100
